Query,Title,Author,Publisher,Publised Year,Categories,Distinc Amount,Average,Sentiment,Percentile
1,Enterprise Linux at Work: How to Build 10 Distributed Applications for Your Organization,['Stephen Asbury'],John Wiley & Sons Incorporated,2000,['Computers'],,,,
1,Open Source Network Administration (Prentice Hall Series in Computer Networking and Distributed Systems),['James M. Kretchmar'],Prentice Hall Professional,2004,['Computers'],,,,
1,Distributed Systems Architecture: A Middleware Approach,"['Arno Puder', 'Kay Römer', 'Frank Pilhofer']",Elsevier,2011,['Computers'],,,,
1,IBM&reg; WebSphere&reg; Application Server for Distributed Platforms and z/OS&reg;: An Administrator's Guide,['James W. Cortada'],MIT Press,2019,['Computers'],,,,
1,Holographic Reduced Representation: Distributed Representation for Cognitive Structures (Center for the Study of Language and Information - Lecture Notes),"['Ignacio Rojas', 'Gonzalo Joya', 'Andreu Català']",Springer Nature,2021,['Computers'],,,,
1,Distributed .NET Programming in VB .NET,['Tom Barnaby'],Apress,2002,['Computers'],,,,
1,Distributed Com Application Development Using Visual C++ 6.0 with CDROM (Prentice Hall Series on Microsoft Technologies),['Jim Maloney'],Prentice Hall,2000,['Computers'],,,,
1,Malware: Fighting Malicious Code (Prentice Hall Series in Computer Networking and Distributed),"['Ed Skoudis', 'Lenny Zeltser']",Prentice Hall Professional,2004,['Computers'],,,,
1,Inside Distributed COM (Mps),"['Intermational Conference Ifip Tcs 200', 'International Federation for Information Processing', 'Springer-verlag']",Springer Science & Business Media,2000,['Computers'],,,,
1,Replication Techniques in Distributed Systems (Advances in Database Systems),"['Abdelsalam A. Helal', 'Abdelsalam A. Heddaya', 'Bharat B. Bhargava']",Springer Science & Business Media,2006,['Computers'],,,,
1,"Engineering Distributed Objects: Second International Workshop, EDO 2000 Davis, CA, USA, November 2-3, 2000 Revised Papers (Lecture Notes in Computer Science)","['Wolfgang Emmerich', 'Stefan Tai']",Springer,2003,['Computers'],,,,
1,Parallel and Distributed Programming Using C++,"['Cameron Hughes', 'Tracey Hughes']",Addison-Wesley Professional,2004,['Computers'],,,,
1,ASP.NET Distributed Data Applications,"['Alex Homer', 'David Sussman']",Apress,2008,['Computers'],,,,
1,Elements of Distributed Computing,['Vijay K. Garg'],John Wiley & Sons,2002,['Computers'],,,,
1,"Trends in Distributed Systems: Towards a Universal Service Market: Third International IFIP/GI Working Conference, USM 2000 Munich, Germany, September ... (Lecture Notes in Computer Science)","['Claudia Linnhoff-Popien', 'Heinz-Gerd Hegering']",Springer,2006,['Computers'],,,,
2,,John Ruskin,,,,11,,,
2,,Bertrand Russell,,,,11,,,
2,,Nathaniel Hawthorne,,,,13,,,
2,,Edgar Allan Poe,,,,10,,,
2,,Edgar Rice Burroughs,,,,10,,,
2,,Franklin W. Dixon,,,,10,,,
2,,Arthur Conan Doyle,,,,10,,,
2,,Charles Dickens,,,,13,,,
2,,Sigmund Freud,,,,10,,,
2,,Henry James,,,,13,,,
2,,Karl Marx,,,,12,,,
2,,William Shakespeare,,,,15,,,
2,,Zane Grey,,,,10,,,
2,,Henry David Thoreau,,,,10,,,
2,,Agatha Christie,,,,10,,,
2,,Thomas Carlyle,,,,10,,,
2,,Henry Wadsworth Longfellow,,,,12,,,
2,,Francis Parkman,,,,10,,,
2,,Rudyard Kipling,,,,12,,,
2,,Thomas Hardy,,,,11,,,
2,,Walter Scott,,,,12,,,
2,,William Dean Howells,,,,10,,,
2,,Henry Adams,,,,10,,,
2,,Robert Louis Stevenson,,,,12,,,
2,,Daniel Defoe,,,,14,,,
2,,Washington Irving,,,,13,,,
2,,Anthony Trollope,,,,11,,,
2,,Erle Stanley Gardner,,,,10,,,
2,,Mark Twain,,,,11,,,
2,,William Makepeace Thackeray,,,,11,,,
2,,Charles Darwin,,,,11,,,
2,,Charles Haddon Spurgeon,,,,10,,,
2,,John Dickson Carr,,,,10,,,
2,,Lewis Carroll,,,,11,,,
2,,Gilbert Keith Chesterton,,,,10,,,
2,,Lafcadio Hearn,,,,10,,,
2,,Herman Melville,,,,12,,,
2,,Thomas Jefferson,,,,10,,,
3,One Hundred Years of Solitude,['Gabriel García Márquez'],Everyman's Library,1995,['Fiction'],907,4.2392502756339585,,
3,A Tree Grows in Brooklyn,['Betty Smith'],Random House,1992,['Fiction'],3904,4.706711065573771,,
3,Jude the Obscure,['Thomas Hardy'],Wordsworth Editions,1995,['Fiction'],503,4.021868787276342,,
3,Black Notice (Random House Large Print),['Patricia Daniels Cornwell'],Random House Large Print Publishing,1999,['Fiction'],654,2.941896024464832,,
3,Catch 22,['Joseph Heller'],Simon and Schuster,1999,['Fiction'],2084,4.391074856046065,,
3,Jane Eyre (Everyman's Classics),['Charlotte Brontë'],Everyman's Library,1991,['Bildungsromans'],1523,4.490479317137229,,
3,A Farewell to Arms,['Ernest Hemingway'],Simon and Schuster,1997,['Fiction'],1475,3.9552542372881354,,
3,Slaughterhouse-Five : Or the Children's Crusade,['Kurt Vonnegut'],Dial Press Trade Paperback,1999,['Fiction'],1000,4.324,,
3,The Hitchhiker's Guide to the Galaxy,['Douglas Adams'],Harmony,1994,['Science'],4042,4.457694210786739,,
3,Jane Eyre (New Windmill),['Charlotte Brontë'],Heinemann Educational Publishers,1993,['Charity-schools'],1523,4.490479317137229,,
3,I am Legend,['Richard Matheson'],Phoenix,1999,['Horror tales'],794,4.182619647355164,,
3,Wuthering Heights (New Windmill),['Emily Brontë'],,1994,['Foundlings'],1070,4.063551401869159,,
3,Naked in Death,['J. D. Robb'],Penguin,1995,['Fiction'],768,4.381510416666667,,
3,Pride and Prejudice,['Jane Austen'],Courier Corporation,1995,['Fiction'],20371,4.527661872269403,,
3,The Girl Who Loved Tom Gordon,['Stephen King'],Simon and Schuster,1999,['Fiction'],903,3.7818383167220375,,
3,Heart of Darkness,['Joseph Conrad'],Courier Corporation,1990,['Fiction'],788,4.07994923857868,,
3,The Secret Garden,['Frances Hodgson Burnett'],Harper Collins,1998,['Juvenile Fiction'],902,4.539911308203991,,
3,"No man knows my history: The life of Joseph Smith, the Mormon prophet",['Fawn McKay Brodie'],Vintage,1995,['Biography & Autobiography'],636,3.8270440251572326,,
3,Foundation and Empire,['D. G. Leahy'],SUNY Press,1996,['Religion'],1218,4.279146141215107,,
3,Red Tent,['Anita Diamant'],Macmillan,1997,['Fiction'],1736,4.151497695852535,,
3,Memoirs of a Geisha (Signed),['Arthur Golden'],Vintage,1999,['Fiction'],2693,4.386929075380617,,
3,The Grapes of Wrath,['John Steinbeck'],Gardners Books,1993,['Fiction'],772,4.426165803108808,,
3,The Adventures of Tom Sawyer (Courage Literary Classics),['Mark Twain'],Courage Books,1999,['Literary Criticism'],674,4.298219584569733,,
3,A Portrait of the Artist As a Young Man,['James Joyce'],Wordsworth Editions,1992,['Fiction'],614,3.8794788273615635,,
3,Slaughter-House Five (First paperback edition),['Kurt Vonnegut'],Dial Press Trade Paperback,1999,['Fiction'],991,4.329969727547931,,
3,Bridge to Terabithia,['Andrew Davenport'],,1995,"[""Children's stories""]",975,4.356923076923077,,
3,The Electric Kool-Aid Acid Test,['Tom Wolfe'],Bantam,1999,['Social Science'],722,4.32409972299169,,
3,Of Mice And Men,['John Steinbeck'],Penguin,1994,['Fiction'],1344,4.350446428571429,,
3,Harry Potter and the Chamber of Secrets,['J. K. Rowling'],Raincoast Books,1999,['Juvenile Fiction'],3137,4.731590691743704,,
3,Catch 22 (catch-22),['Joseph Heller'],Simon and Schuster,1999,['Fiction'],1044,4.39176245210728,,
3,The Bluest Eye (G K Hall Large Print Book Series),['Toni Morrison'],G K Hall & Company,1999,['Fiction'],580,3.9982758620689656,,
3,All Creatures Great and Small,['James Herriot'],Macmillan,1992,['Biography & Autobiography'],824,4.79126213592233,,
3,Slaughterhouse-Five,['Kurt Vonnegut'],Dial Press Trade Paperback,1999,['Fiction'],2975,4.327058823529412,,
3,The grapes of wrath,['John Steinbeck'],Gardners Books,1993,['Fiction'],771,4.408560311284047,,
